epoch1_batch0_idx18: pred=8, true=3
epoch1_batch3_idx25: pred=5, true=6
epoch1_batch3_idx55: pred=2, true=4
epoch1_batch6_idx61: pred=0, true=6
epoch1_batch6_idx63: pred=7, true=4
epoch1_batch8_idx39: pred=2, true=7
epoch1_batch9_idx6: pred=2, true=8
epoch1_batch10_idx44: pred=3, true=7
epoch1_batch11_idx36: pred=9, true=4
epoch1_batch13_idx12: pred=7, true=8
epoch1_batch13_idx50: pred=7, true=9
epoch1_batch13_idx51: pred=5, true=3
epoch1_batch14_idx42: pred=5, true=3
epoch1_batch14_idx51: pred=9, true=8
epoch1_batch15_idx54: pred=5, true=6
epoch1_batch16_idx15: pred=2, true=7
epoch1_batch16_idx44: pred=4, true=8
epoch1_batch17_idx24: pred=6, true=4
epoch1_batch17_idx26: pred=2, true=3
epoch1_batch18_idx29: pred=1, true=6
epoch1_batch18_idx30: pred=5, true=6
epoch1_batch18_idx50: pred=5, true=8
epoch1_batch19_idx10: pred=2, true=7
epoch1_batch19_idx16: pred=4, true=9
epoch1_batch19_idx26: pred=9, true=4
epoch1_batch19_idx31: pred=5, true=9
epoch1_batch19_idx44: pred=1, true=7
epoch1_batch20_idx10: pred=5, true=3
epoch1_batch20_idx39: pred=0, true=8
epoch1_batch20_idx46: pred=2, true=7
epoch1_batch21_idx49: pred=3, true=5
epoch1_batch22_idx6: pred=7, true=9
epoch1_batch23_idx50: pred=9, true=7
epoch1_batch23_idx55: pred=5, true=1
epoch1_batch23_idx58: pred=7, true=8
epoch1_batch25_idx21: pred=6, true=0
epoch1_batch26_idx45: pred=5, true=9
epoch1_batch26_idx53: pred=0, true=8
epoch1_batch27_idx26: pred=2, true=7
epoch1_batch27_idx33: pred=9, true=5
epoch1_batch29_idx22: pred=3, true=8
epoch1_batch29_idx45: pred=4, true=9
epoch1_batch30_idx35: pred=2, true=8
epoch1_batch31_idx34: pred=2, true=1
epoch1_batch31_idx51: pred=3, true=5
epoch1_batch31_idx56: pred=6, true=5
epoch1_batch31_idx59: pred=8, true=4
epoch1_batch32_idx5: pred=9, true=4
epoch1_batch32_idx22: pred=9, true=7
epoch1_batch32_idx45: pred=2, true=8
